instance,seed,opt.status,opt.obj,opt.nodes,opt.runtime,optimal,var.size,var.binaries,var.integers,var.continuous,constr.size,const.density,constr.empty,constr.free,constr.singleton,constr.aggregation,constr.precedence,constr.variable_bound,constr.set_partitioning,constr.set_packing,constr.set_covering,constr.binpacking,constr.knapsack,constr.integer_knapsack,constr.cardinality,constr.invariant_knapsack,constr.equation_knapsack,constr.mixed_binary,constr.general_linear
csched010,0,optimal,408.0,32765.0,562.0028340816498,407.999999999994,1758,1457,0,301,351,0.0103329,0,0,0,2,50,0,50,0,0,0,0,0,0,0,0,249,0
eilC76-2,0,optimal,762.514782,1332.0,31.23568296432495,762.514781999996,28599,28599,0,0,75,0.146782,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0
enlight_hard,0,optimal,37.0,0.0,0.0013990402221679688,37,200,100,100,0,100,0.028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
enlight8,0,optimal,27.0,0.0,0.0010218620300292969,27,128,64,64,0,64,0.0429688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64
atlanta-ip,0,optimal,90.00987861440004,7501.0,1783.5892570018768,90.009878614,48738,46667,106,1965,21732,0.000243144,1,0,176,573,0,2293,782,0,0,0,774,1,5540,2209,0,9202,181
ex9,0,optimal,81.0,0.0,8.121640920639038,81,10404,0,10404,0,40962,0.0012134,0,0,1120,0,1152,0,0,0,0,0,0,162,0,0,0,0,38690
exp-1-500-5-5,0,optimal,65887.0,653.0,4.394496917724609,65887,990,250,0,740,550,0.00363636,0,0,0,0,0,250,0,50,0,0,0,0,0,0,0,250,0
f2gap201600,0,optimal,76453.0,1.0,0.05370807647705078,76453,1600,1600,0,0,20,0.1,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0
f2gap401600,0,optimal,82307.0,1.0,0.05806994438171387,82306.9999999945,1600,1600,0,0,40,0.05,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0
f2gap40400,0,optimal,20772.0,1.0,0.022181987762451172,20771.99999999983,400,400,0,0,40,0.05,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0
f2gap801600,0,optimal,86679.0,1.0,0.07862305641174316,86678.999982707,1600,1600,0,0,80,0.025,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0
ex10,0,optimal,100.0,0.0,23.41495704650879,100,17680,0,17680,0,69608,0.000944202,0,0,608,0,2224,0,0,0,0,0,0,200,0,0,0,0,66776
flugpl,0,optimal,1201500.0,0.0,0.0007240772247314453,1201500,18,0,11,7,18,0.141975,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,11
csched008,0,optimal,173.0,131648.0,761.9201099872589,173,1536,1284,0,252,351,0.0105484,0,0,1,10,50,0,50,0,0,0,0,0,0,0,0,240,0
fast0507,0,optimal,174.0,2032.0,133.78907895088196,174,63009,63009,0,0,507,0.012814,0,0,8,0,0,3,0,0,496,0,0,0,0,0,0,0,0
gen-ip021,0,optimal,2361.4541951916,1663582.0,198.22973704338074,2361.45419519,35,0,35,0,28,0.964286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
gen-ip036,0,optimal,-4606.6796098376,1249503.0,170.64807891845703,-4606.67961,29,0,29,0,46,0.976762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46
gen-ip002,0,optimal,-4783.7333916,4501958.0,768.3966751098633,-4783.733392,41,0,41,0,24,0.936992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
glass4,0,optimal,1200012600.0,44808.0,42.26395010948181,1200012599.972384,322,302,0,20,396,0.014234,0,0,0,0,9,0,36,0,0,0,0,0,0,0,0,351,0
berlin_5_8_0,0,optimal,62.0,3563840.0,2818.0495920181274,62,1083,794,0,289,1532,0.00271644,0,0,1,0,476,0,0,0,309,0,0,0,0,0,0,746,0
gmu-35-40,0,optimal,-2406535.7616999997,546553.0,406.3392930030823,-2406733.3688,1205,1200,0,5,424,0.00947898,0,0,0,0,0,32,0,379,0,0,0,0,0,0,0,13,0
