instance,seed,opt.status,opt.obj,opt.nodes,opt.runtime,optimal,var.size,var.binaries,var.integers,var.continuous,constr.size,const.density,constr.empty,constr.free,constr.singleton,constr.aggregation,constr.precedence,constr.variable_bound,constr.set_partitioning,constr.set_packing,constr.set_covering,constr.binpacking,constr.knapsack,constr.integer_knapsack,constr.cardinality,constr.invariant_knapsack,constr.equation_knapsack,constr.mixed_binary,constr.general_linear
square31,0,optimal,15.0,5160.0,1889.5997760295868,15,28860,28830,30,0,19435,0.00701951,0,0,18415,0,0,0,961,0,0,0,0,0,0,0,0,0,59
rmatr200-p5,0,optimal,4521.0,24272.0,10575.015867948532,4521,37816,200,0,37616,37617,7.947e-05,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,37616,0
rail02,0,optimal,-200.44990766666666,665.0,13594.334372997284,-200.4499077,270869,270869,0,0,95791,2.91453e-05,0,0,2,39086,0,0,31181,2700,0,0,3,0,22819,0,0,0,0
supportcase14,0,optimal,288.0,1.0,0.04774594306945801,288,304,304,0,0,234,0.015871,11,0,97,16,0,5,34,19,0,0,0,0,52,0,0,0,0
supportcase16,0,optimal,288.0,1.0,0.03324103355407715,288,319,319,0,0,130,0.0259465,0,0,6,16,0,1,36,17,0,0,0,0,54,0,0,0,0
supportcase17,0,optimal,1330.0,2575.0,12.375550031661987,1329.999999999999,1381,732,235,414,2108,0.00180444,0,0,0,602,367,540,4,0,0,0,0,0,46,0,0,184,365
supportcase18,0,optimal,48.0,145316.0,436.31809091567993,48,13410,13410,0,0,240,0.00898583,0,0,0,0,0,0,120,0,0,120,0,0,0,0,0,0,0
supportcase20,0,optimal,45591.999999999985,568.0,2.885089874267578,45592,903,300,0,603,903,0.0575846,0,0,300,1,0,300,0,0,0,0,0,0,0,0,0,302,0
supportcase26,0,optimal,1745.124182346033,85119.0,282.44237899780273,1745.123813,436,396,0,40,870,0.00656965,0,0,40,0,38,0,0,0,0,0,0,0,0,0,0,792,0
supportcase33,0,optimal,-345.0,1481.0,49.480340003967285,-345,20203,20102,101,0,20489,0.000511947,0,0,1,0,0,77,2,145,0,0,0,0,200,55,0,45,19964
supportcase12,0,optimal,-7559.011480155241,21003.0,789.933788061142,-7559.533053817,799616,0,200,799416,166781,1.75047e-05,6447,0,510,41642,2784,1625,0,0,0,0,0,1,0,0,0,112171,1601
supportcase34,0,optimal,84.0,1085.0,26.9283390045166,83.99999985999999,17879,11196,6682,1,15170,0.00276113,0,0,1948,0,0,2263,390,0,0,0,267,123,390,875,0,1675,7239
supportcase37,0,optimal,-1048.9601089861872,56.0,50.209774017333984,-1048.96,20047,1484,0,18563,59023,0.000114624,0,0,70,16,27298,23376,23,10,678,0,0,0,1,0,0,7551,0
supportcase6,0,optimal,51906.477370251785,2701.0,376.83174896240234,51906.47737,130052,130051,1,0,771,0.005834,0,0,0,0,0,0,57,0,0,0,0,0,713,0,0,0,1
supportcase7,0,optimal,-1132.223170830909,32.0,16.53139901161194,-1132.223177,138844,451,14,138379,6532,0.00313756,7,0,109,0,449,32,0,0,0,0,0,0,0,640,0,4711,584
swath1,0,optimal,379.07129574999993,1230.0,4.923167943954468,379.07129575,6805,2306,0,4499,884,0.00581237,0,0,401,0,0,0,0,0,0,0,0,0,0,0,0,483,0
swath2,0,optimal,385.1996929499999,1899.0,7.075506925582886,385.1996929499999,6805,2406,0,4399,884,0.00581237,0,0,401,0,0,0,0,0,0,0,0,0,0,0,0,483,0
swath3,0,optimal,397.76134364999984,12834.0,35.856661796569824,397.76134365,6805,2706,0,4099,884,0.00581237,0,0,401,0,0,0,0,0,0,0,0,0,0,0,0,483,0
supportcase42,0,optimal,7.758630722271628,74314.0,1036.1517980098724,7.75863072227,19466,0,1026,18440,18439,0.00121374,0,0,0,0,1,2053,0,0,0,0,0,0,0,0,0,0,16385
tanglegram4,0,optimal,10696.0,3.0,3.597221851348877,10696,56048,56048,0,0,110404,5.35255e-05,0,0,0,0,0,0,0,0,84761,0,0,0,0,25643,0,0,0
tanglegram6,0,optimal,1224.0,1.0,0.34847307205200195,1224,9182,9182,0,0,17712,0.000326726,0,0,0,0,0,0,0,0,14214,0,0,0,0,3498,0,0,0
tbfp-network,0,optimal,24.1631944445,252.0,226.25474786758423,24.16319444,72747,72747,0,0,2436,0.00121796,0,0,0,0,0,0,42,0,0,0,0,0,2394,0,0,0,0
timtab1,0,optimal,764771.99999978,32939.0,94.37261581420898,764771.99999978,397,77,94,226,171,0.0122115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,94
timtab1CUTS,0,optimal,764771.9999998802,26585.0,81.23292088508606,764771.9999997859,397,77,94,226,371,0.0118272,0,0,0,0,6,33,0,1,0,0,0,0,0,2,0,221,108
toll-like,0,optimal,610.0,7363.0,510.3176209926605,610,2883,2883,0,0,4408,0.00104058,0,0,0,0,0,0,0,0,3253,0,0,0,0,1155,0,0,0
traininstance6,0,optimal,28290.0,11116.0,10.281168222427368,28290,10218,4154,2056,4008,12309,0.000260667,0,0,0,8051,82,25,14,0,0,0,2,0,9,10,0,4000,116
trento1,0,optimal,5189487.0,1690.0,221.0918140411377,5189487,7687,6415,0,1272,1265,0.00962263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1265,0
triptim1,0,optimal,22.8681,1.0,35.635091066360474,22.8680999999999,30055,20456,9592,7,15706,0.00109192,0,0,3,14,1,6,0,2049,4038,0,0,0,0,5,0,0,9590
uccase12,0,optimal,11507.942210559992,1.0,7.438582897186279,11507.4050616,62529,9072,0,53457,121161,5.53647e-05,38,0,6416,22041,2020,20214,0,0,0,0,0,0,0,0,0,70432,0
uccase8,0,optimal,11168.272123498607,1.0,69.67565512657166,11167.74532,37413,9576,0,27837,53709,0.00010681,24,0,4036,8685,1513,20718,0,0,0,0,0,0,0,0,0,18733,0
uccase9,0,optimal,10993.086829102835,31917.0,2477.4530971050262,10993.131409,33242,8064,0,25178,49565,0.000201692,28,0,5024,9014,1180,16086,0,0,0,0,0,0,0,0,0,18233,0
square37,0,optimal,15.0,3972.0,5692.841378927231,14.9999997973,49320,49284,36,0,33150,0.00579567,0,0,31710,0,0,0,1369,0,0,0,0,0,0,0,0,0,71
unitcal_7,0,optimal,19635558.24401948,84.0,36.7238130569458,19635558.244,25755,2856,0,22899,48939,0.000101232,0,0,908,0,13394,17182,0,0,0,0,0,0,0,0,0,17455,0
var-smallemery-m6j6,0,optimal,-149.375,352709.0,762.4217870235443,-149.37501,5608,5606,0,2,13416,0.0113059,0,0,0,0,13263,0,0,0,0,0,0,0,0,3,0,150,0
t11nonreg,0,optimal,1029039.5,1.0,5479.230729103088,1029039.499999974,4596905,4570985,8640,17280,27375,0.000372229,0,0,0,4,0,0,10095,0,0,0,0,0,0,0,0,8638,8638
wachplan,0,optimal,-8.0,38067.0,998.5996441841125,-8,3361,3360,1,0,1553,0.0171202,0,0,33,0,0,224,0,0,0,0,0,0,224,1036,0,28,8
uct-subprob,0,optimal,314.0,188575.0,3584.6833629608154,314,2256,379,0,1877,1973,0.00227967,0,0,20,131,0,91,0,6,0,0,0,0,0,0,0,1725,0
square41,0,optimal,14.999999999995739,5647.0,10678.501701116562,15,62234,62197,37,0,40160,0.00542805,0,0,38406,0,0,0,1681,0,0,0,0,0,0,0,0,0,73
seymour,0,optimal,423.0,412976.0,17563.72710299492,423,1372,1372,0,0,4944,0.00494592,0,0,117,0,0,285,0,0,4542,0,0,0,0,0,0,0,0
